cocktailName,cocktailNameKo,alcoholStrength,cocktailStory,cocktailType,alcoholBaseType,ingredient,recipe,cocktailImgUrl
A1,에이원,VERY_STRONG,"A1은 1920년대 유럽 상류층에서 시작된 비밀스러운 모임에서 유래했어요. 당시 여성들은 화려한 드레스와 보석으로 자신을 꾸미고, 은밀한 대화와 함께 A1 칵테일을 즐겼죠. 붉은 빛의 그레나딘은 그들의 열정과 비밀을 상징하며, 새콤한 레몬은 짜릿한 일탈을 의미했어요. A1 칵테일은 단순한 술이 아닌, 자유와 로맨스를 꿈꾸던 그 시대 여성들의 특별한 '암호'였답니다.",CLASSIC,GIN,"진:1 3/4 shot, 그랑 마니에:1 Shot, 레몬 주스:1/4 Shot, 그레나딘:1/8 Shot","모든 재료를 칵테일 셰이커에 넣고 섞은 뒤, 얼음을 채운 차가운 글라스에 따라 제공합니다.",https://www.thecocktaildb.com/images/media/drink/2x8thr1504816928.jpg
ABC,에이비씨,VERY_STRONG,"사랑의 시작'이라는 뜻을 가진 칵테일이에요. 'Amaretto', 'Baileys', 'Cognac'의 첫 글자를 따서 지어졌죠. 마치 첫 만남처럼 달콤하고 부드러운 아마레토와 베일리스가 어우러지고, 뒤이어 코냑의 묵직함이 더해져 시간이 지날수록 깊어지는 사랑을 표현해요. 썸을 타거나 새로운 연애를 시작하는 당신에게 이 칵테일은 로맨틱한 분위기를 더해줄 거예요.",SHOOTER,LIQUEUR,"아마레토:1/3 equal parts, 베일리스 아이리시 크림:1/3 equal parts, 코냑:1/3 equal parts",숏 글라스에 층을 이루어 담습니다.,https://www.thecocktaildb.com/images/media/drink/tqpvqp1472668328.jpg
Ace,에이스,MEDIUM,"1950년대 할리우드에서 사랑받았던 칵테일이에요. 유명 여배우들이 파티가 끝나면 긴장을 풀기 위해 Ace 칵테일을 즐겼다고 해요. 칵테일의 부드러운 크림과 우유는 바쁜 일상 속에서도 여유를 잃지 않는 우아함을, 달콤한 그레나딘은 스포트라이트 뒤 숨겨진 사랑스러움을 나타내죠. Ace는 일과 사랑, 두 마리 토끼를 모두 잡고 싶어 하는 현대 여성들에게 완벽하게 어울리는 칵테일이랍니다.",CLASSIC,GIN,"진:2 shots, 그레나딘:1/2 shot, 헤비 크림:1/2 shot, 우유:1/2 shot, 달걀 흰자:1 ea",모든 재료를 칵테일 셰이커에 얼음과 함께 흔들어 차가운 글라스에 거릅니다.,https://www.thecocktaildb.com/images/media/drink/l3cd7f1504818306.jpg
ACID,애시드,VERY_STRONG,"이름부터 강렬한 이 칵테일은 틀에 박힌 삶에서 벗어나고 싶은 여성들을 위한 음료예요. 151 프루프 럼과 와일드 터키 버번의 조합은 마치 일탈을 꿈꾸는 당신의 내면을 표현하는 듯하죠. 복잡한 생각은 잠시 잊고 오직 자신에게 집중하고 싶을 때, ACID 칵테일 한 잔으로 짜릿한 해방감을 느껴보세요.",SHOOTER,WHISKY,"151 프루프 럼:1 oz, 와일드 터키:1 oz","151 프루프 럼을 먼저 붓고, 101을 부은 뒤 콜라 또는 닥터 페퍼와 함께 제공합니다.",https://www.thecocktaildb.com/images/media/drink/xuxpxt1479209317.jpg
Adam,아담,MEDIUM,"이 칵테일은 '새로운 시작'을 상징해요. 강렬한 럼에 상큼한 레몬과 달콤한 그레나딘이 더해져, 마치 인생의 새로운 챕터를 여는 것처럼 짜릿하면서도 달콤한 기분을 선사하죠. 중요한 결정을 앞두고 있거나, 새로운 도전을 시작할 때 아담 칵테일을 마시며 자신감을 충전해 보세요. 모든 것이 잘 풀릴 거예요.",CLASSIC,RUM,"다크 럼:2 oz, 레몬 주스:1 oz, 그레나딘:1 tsp",얼음을 절반 정도 채운 셰이커에 모든 재료를 넣고 잘 흔들어 칵테일 글라스에 따라 줍니다.,https://www.thecocktaildb.com/images/media/drink/v0at4i1582478473.jpg
Avalon,아발론,LIGHT,"전설 속 아서왕의 이야기에 등장하는 신비의 섬, 아발론에서 이름을 따왔어요. 아발론은 마법과 치유의 힘이 가득한 곳으로, 이 칵테일 역시 마시면 마음이 편안해지고 새로운 활력을 얻게 된다는 믿음이 있었어요. 피상 앰본의 이국적인 향과 상큼한 과일 주스가 어우러져 마치 꿈결 같은 휴가를 떠난 듯한 기분을 선사해요. 현실에서 벗어나 오직 나만을 위한 시간을 갖고 싶을 때, 아발론 칵테일과 함께 마법 같은 순간을 경험해 보세요.",LONG,VODKA,"보드카:3 parts, 피상 암본:1 part, 사과 주스:6 parts, 레몬 주스:1 1/2 part, 레모네이드:1/2 parts","큰 글라스에 얼음을 채우고, 핀란디아 보드카, 레몬 주스, 사과 주스, 피상 앰본을 층층이 부은 뒤 레모네이드로 채웁니다. 약간 저어주고 오이 껍질을 꼬아 장식하며, 빨간 체리를 올립니다. (1991년 핀란디아 보드카 롱 드링크 대회 1등 작품)",https://www.thecocktaildb.com/images/media/drink/3k9qic1493068931.jpg
Apello,아펠로,NON_ALCOHOLIC,마치 '한여름 밤의 꿈'처럼 달콤하고 상큼한 칵테일이에요. 붉은 마라스키노 체리가 칵테일의 아름다움을 더해주죠. 마치 숲속에서 길을 잃은 요정처럼 신비롭고 사랑스러운 분위기를 연출해요. Apello는 일상의 스트레스에서 벗어나 잠시나마 자유로움을 느끼고 싶은 당신에게 완벽한 음료가 될 거예요.,LONG,LIQUEUR,"오렌지 주스:4 cl, 자몽 주스:3 cl, 사과 주스:1 cl, 마라스키노 체리:1 ea",저어 섞고 마라스키노 체리로 장식합니다.,https://www.thecocktaildb.com/images/media/drink/uptxtv1468876415.jpg
Affair,어페어,MEDIUM,"""은밀한 관계""를 뜻하는 이름처럼, 이 칵테일은 예상치 못한 로맨스를 상징해요. 바쁜 일상 속 우연히 마주친 낯선 사람과의 짧지만 강렬했던 만남을 떠올리게 하죠. 딸기 슈냅스의 달콤함과 크랜베리의 씁쓸함, 그리고 상큼한 오렌지 주스가 어우러져 사랑의 복잡 미묘한 감정을 완벽하게 표현하고 있어요. 특별한 누군가와 함께 분위기를 내고 싶을 때 Affair 칵테일을 추천합니다.",LONG,OTHER,"스트로베리 슈냅스:2 oz, 오렌지 주스:2 oz, 크랜베리 주스:2 oz, 클럽 소다:1 Top up","하이볼 글라스에 슈냅스, 오렌지 주스, 크랜베리 주스를 붓고 얼음을 채운 뒤 클럽 소다로 마무리합니다.",https://www.thecocktaildb.com/images/media/drink/h5za6y1582477994.jpg
Abilene,애빌린,MEDIUM,"마치 영화 속 한 장면처럼, 텍사스 애빌린의 뜨거운 태양 아래에서 탄생한 칵테일이에요. 럼의 이국적인 향과 복숭아, 오렌지의 달콤함이 어우러져 한 모금만으로도 먼 곳으로 떠나는 기분을 만끽할 수 있죠. Abilene 칵테일은 바쁜 일상 속에서 잠시나마 자유를 꿈꾸는 당신에게 완벽한 휴식을 선사할 거예요.",LONG,RUM,"다크 럼:1 1/2 oz, 복숭아 넥타:2 oz, 오렌지 주스:3 oz",얼음을 거의 채운 하이볼 글라스에 모든 재료를 붓고 잘 저어줍니다.,https://www.thecocktaildb.com/images/media/drink/smb2oe1582479072.jpg
Almeria,알메리아,MEDIUM,"스페인 남부의 작은 마을 이름에서 유래된 칵테일이에요. 노을 지는 해변가에서 낭만을 즐기던 여행객들이 즐겨 마셨다고 하죠. 럼의 깊은 풍미와 깔루아의 달콤함, 그리고 부드러운 달걀 흰자가 어우러져 마치 꿈결처럼 부드럽고 달콤한 맛을 선사해요. 알메리아는 일상 속 작은 탈출을 꿈꾸는 당신에게 완벽한 음료가 될 거예요.",CLASSIC,RUM,"다크 럼:2 oz, 깔루아:1 oz, 달걀 흰자:1 ea",얼음을 절반 정도 채운 셰이커에 모든 재료를 넣고 잘 흔든 뒤 칵테일 글라스에 따라 줍니다.,https://www.thecocktaildb.com/images/media/drink/rwsyyu1483388181.jpg
